from,to
1916,8677
9502,5198
3428,6909
2595,3893
1606,3306
6104,6446
5186,8442
6743,4060
1977,2314
7308,5564
7300,8722
2517,3681
5845,5232
6134,7117
2949,9108
4986,3816
3676,4022
8195,7376
1727,2303
4290,5854
6547,8234
9938,1745
7407,7848
8479,2681
8064,6186
756,7793
5639,9279
2642,1786
3565,5387
8620,1169
9382,5600
2847,7420
7571,5291
7008,3622
4561,3229
1725,4916
2464,9364
3989,9859
1822,4102
467,7728
5169,1194
6550,9284
3315,835
8604,8922
8567,1961
8492,511
59,8421
8051,6628
9222,7433
5063,9763
3904,411
1431,4876
4625,5740
6531,4906
9105,6056
6968,5303
1951,9260
899,1384
3245,5167
9463,7174
1577,5823
3098,5531
4150,5498
5130,4854
360,661
8604,4090
2783,3435
6885,6713
6171,7158
6609,6296
3006,6451
4225,1920
8447,6885
6962,833
8362,9625
1176,7634
3908,8849
5210,3257
6605,6432
5782,8563
2302,1233
4677,4017
9634,1172
7801,9696
1809,8389
9955,99
3783,6122
8962,4367
3220,6186
4310,5651
4732,8437
4162,8770
6159,7043
6927,6526
9906,8957
669,1218
9532,2866
9140,9291
3885,439
5081,9701
9528,367
2557,2478
5634,2802
6351,9465
8707,8413
7298,5794
3305,5078
265,9145
6763,3289
6862,3564
3563,4660
1458,8837
4965,4924
4366,2909
9316,8410
8761,2795
6996,2726
6098,8926
5458,9982
1597,9074
8335,579
5787,8770
339,4688
4321,6443
6031,743
3499,505
5851,5562
5897,3617
2493,7587
9511,9529
4187,5025
5131,8743
2328,6959
3752,2053
9386,4963
1935,2302
8061,1856
2997,24
1744,2952
8767,846
6524,1137
7369,2552
453,7266
9239,5529
7690,283
4931,6997
9958,4671
6053,4237
1305,6463
3249,4104
4176,6147
7785,6608
8048,6727
6659,7335
8931,8673
1094,6468
3385,5611
3870,2541
5487,4849
5167,8450
1197,8856
118,9012
5017,5176
8250,6176
7194,8008
6785,9916
8247,4805
2304,4221
1469,2510
9067,7282
1279,111
9754,4449
4648,5992
3132,860
8236,2490
4965,5088
284,6813
4019,4554
6056,529
8447,6437
3375,111
9838,5540
6643,8906
1159,7576
9671,2680
1359,319
7418,8663
6560,459
1501,238
8648,3834
5920,8673
8765,6438
4027,2736
9695,5755
8104,1853
4966,1152
3982,1064
5178,2724
9287,616
8002,7239
1891,5384
6708,1426
1222,764
1179,8435
5837,6687
7542,5097
3118,2299
7868,1929
173,6227
9598,9691
9499,4000
453,9844
5576,7510
7563,10000
4105,6547
9093,1547
5797,6132
6797,2205
3929,6323
239,5104
444,9648
8777,7327
5228,3547
9141,7613
359,9084
3299,2398
4582,9327
1183,8006
9556,7151
7139,444
604,6382
3749,6171
6224,1886
3552,2213
4742,8079
2304,5188
6493,1093
7351,8847
7629,1061
2253,9765
7820,5133
3268,8569
8621,8157
5609,7770
9235,6582
4598,765
1156,8733
3941,7017
5688,7579
7935,7007
7297,6548
7331,2932
964,7330
6546,8701
3589,238
9926,5462
1569,1515
2019,7935
3157,4543
7734,5667
4012,6910
7754,3286
37,9957
4185,3178
8499,5791
9279,2030
2989,3191
2939,1620
7718,8139
8063,8365
5304,3370
1030,4916
6841,3226
1909,2051
7232,7768
3370,7542
3617,3565
2433,4666
2739,2905
6118,6881
1234,4382
6276,3094
9216,1868
9756,3863
7559,4532
2785,4756
714,3468
3040,2802
121,7342
9134,6699
6339,8333
153,5142
5926,8469
9520,9535
9522,8637
8766,2403
2235,9052
7682,4459
7181,7701
1690,4482
9242,4385
1310,6228
8175,6424
8281,3925
6789,5915
4705,2923
7251,496
6104,5273
2032,1819
1723,728
182,774
7160,3060
1106,4797
5500,3633
9208,456
810,4153
8660,5878
7816,8931
5963,7794
8595,9632
6048,3957
2595,8277
7730,1192
6410,5216
3106,4467
3653,3498
5635,1047
6629,7160
5466,1349
6935,8237
1845,4505
3375,4703
600,3270
6532,5204
8690,4143
2852,8697
1310,7984
1080,4830
3205,7255
515,6130
6289,721
4,3623
9085,6549
6395,5554
8536,7511
5303,4177
6840,6011
9789,3417
2459,4135
7766,7867
2200,5491
4768,5298
3268,9647
3012,5611
6433,9969
6615,1
3313,3641
3258,9621
232,7235
3308,3687
8559,1369
9712,7651
6021,6706
6393,4394
9584,6219
177,1964
1729,1377
857,6879
1942,1688
5899,8623
1288,4282
4571,4578
3685,1695
5852,1430
2712,662
415,7946
6356,3854
1686,6694
1216,4883
3062,3511
8924,360
6395,2395
7729,3437
2229,1813
5191,861
7008,9438
7920,9927
8114,5513
3185,5079
8350,5904
4705,1441
3781,7456
122,5481
9868,9262
9149,8385
2776,4900
5250,5600
7446,3596
237,779
8391,7880
3499,8595
1113,2172
6492,8028
2641,9177
7867,1637
2883,4438
4408,3464
6980,2877
6598,2799
7079,6271
3136,2241
5924,2917
6503,7784
1479,8628
4679,9984
2196,2444
151,4031
2440,7277
6751,4203
5130,2695
3492,7036
3553,796
8799,7664
7359,1460
6652,9892
2619,4941
573,8982
220,9277
5486,9412
3185,1382
6228,1552
5854,2372
8751,8563
8193,2182
5375,5402
2355,8294
354,1714
4794,1207
3627,4428
3610,7482
3711,4060
6107,9677
3704,1972
1846,6497
6908,7432
6570,8070
56,974
9035,373
598,7236
9114,4281
2782,1341
2975,4875
3529,3961
7651,9241
2096,7904
5258,3395
2963,203
6573,3249
7126,5888
3014,6628
901,2424
9236,5480
136,7198
8847,4594
4817,7046
661,6780
6786,8727
2515,8490
7692,4375
9423,1896
5715,7665
3314,6226
3277,1269
4835,6591
201,5613
7102,3467
5404,1944
6500,8640
4070,4773
7436,1936
355,6685
1239,402
2062,5628
5873,6262
1840,1726
9460,6935
5606,2259
5558,3068
960,4574
3026,8762
9990,3360
6708,8298
565,2683
670,3234
9991,3382
7016,9219
481,6844
5636,6319
6454,5921
5423,6645
4920,8563
1028,3322
2462,4712
6763,9925
3410,2426
110,4582
6385,2188
891,4516
4709,311
7318,4851
8544,7413
6838,6175
2926,2905
2672,7527
4045,3753
2993,4872
4201,9994
3796,901
480,1687
4355,2352
9188,2269
5354,5272
3167,4229
3704,3087
5024,1774
8607,2038
707,1159
426,8183
767,8999
4542,3327
7769,7273
8377,166
1718,1255
9816,9644
9118,2817
1732,9458
700,1130
5228,4866
5730,2608
5438,2412
761,7174
6318,655
5174,5807
1241,5296
584,4457
8484,7657
8781,6020
797,4609
756,1166
4579,3684
2366,4524
5250,7935
590,2295
3654,4234
1215,4288
8801,7970
6565,5857
6519,3106
6971,2066
7526,7485
7020,2709
3780,5131
9021,2046
5120,6350
4999,7202
9690,6543
5010,3195
5215,1210
733,4390
3805,7219
6251,4986
6997,9187
7495,9380
2046,6851
8472,6467
8293,9699
9903,541
4738,920
9597,1180
4551,8256
8530,4569
1682,7635
1008,2835
6913,2280
3070,1068
549,6144
5080,7585
5662,2435
404,451
6630,2518
9759,6823
507,7734
3302,5350
9012,100
6945,1537
1860,5356
9577,5942
5020,7251
1434,2903
8331,5308
5860,5677
6321,392
7324,7209
7777,1272
783,2514
6965,2112
1382,1488
2683,7561
2676,996
1884,35
4813,6770
5197,4086
3089,8044
447,3635
70,7100
9810,908
836,6525
7654,3516
1529,5335
545,6436
6781,597
8045,3171
1055,2245
7929,5473
8302,1515
8607,3033
5781,8450
7846,3153
3534,9712
206,439
3159,9509
1208,6537
1185,2672
408,9665
1877,6782
3363,1212
5985,2928
6578,5861
4512,40
3401,4386
4216,9919
6353,6634
3197,9414
2689,6082
6531,439
6716,2611
8560,9927
6531,6938
432,9370
4971,3132
9042,4931
7881,4787
3968,2871
7674,1289
5836,8125
8021,2964
8806,523
2649,5424
6852,7261
3412,8643
1918,1724
5431,196
7831,2513
2276,383
8275,9087
6790,8873
4569,1918
6413,3390
5816,4771
4519,4280
6257,766
5146,1950
8481,2015
6557,5095
9282,6021
967,9481
872,677
4239,6083
2102,2083
3906,9011
2003,7328
7315,3380
9479,8705
8541,4664
7487,6551
7668,8670
4176,3200
4090,9488
8984,9930
6541,8940
400,1519
461,7789
7789,1489
956,1909
3686,1956
7566,2473
576,6386
3263,1625
6693,1967
4468,2347
6196,7466
7865,5378
8369,6460
1530,5008
5933,1632
3373,2229
5504,3759
1036,2451
3747,1526
6049,2624
3434,4775
2075,4871
1550,649
4845,9899
7337,8381
6564,5321
7258,2190
9817,5801
8089,3076
173,8928
9589,1157
8353,2374
9304,8
2248,5903
8588,9160
484,2280
8790,6449
1533,4447
8497,6906
9040,7791
5078,3566
7460,5047
6871,4601
2792,6790
7099,7276
7544,8406
4387,9566
510,114
8923,1951
2868,6820
8029,3401
2872,4400
5103,8389
7753,4967
5484,7543
4846,5768
4672,4584
2982,9001
3645,6126
1722,7822
7307,9386
1038,1620
4637,9213
8870,8077
6014,9047
8837,5240
6025,6494
9857,652
6216,3240
7043,8561
4853,5878
4250,2811
9708,5085
2335,8275
9025,2689
1378,212
830,1920
2020,2815
901,8360
7726,7468
180,8166
7471,1806
454,3308
6019,1409
6981,4974
2606,3634
5774,5434
5608,4155
7853,1169
6386,7641
9223,7350
2870,3596
5831,6498
9965,8587
7824,1458
1563,3202
8801,3886
7172,2153
4054,1798
7826,2722
5179,4362
7646,5182
2459,9591
5452,972
839,3545
2371,2351
7795,9650
4153,4331
8906,4213
5646,2092
6417,9903
8511,8115
8985,6963
2459,4478
5038,4864
3458,7075
3597,5170
9496,1929
2082,2353
6345,2739
8303,2153
4823,2937
5272,8887
2863,1284
6907,7629
6938,7814
6846,2931
9695,7252
7809,6170
2726,4130
6610,9630
7623,553
3151,4775
9040,6823
5302,9484
8709,8963
5416,5333
210,395
6732,6811
332,8956
2351,14
1094,9533
2841,5330
4528,8649
1036,4647
3625,3143
4390,6228
2245,9191
4533,2816
7513,8939
970,1836
3971,1712
8966,2400
8743,3832
6289,4241
756,3398
2041,1611
8694,8853
4983,7185
5412,548
3774,574
8409,3154
8973,6839
1200,9986
772,4255
5896,4971
3315,9734
2759,207
9933,6047
5307,390
9659,1693
5196,8294
8333,8553
4877,8817
1836,8546
7457,9579
427,466
6602,7031
7468,6937
5516,8253
2911,6825
8848,2250
1668,9677
2533,6340
6274,3814
9441,3975
9056,9347
5190,1009
2672,700
6031,9031
892,7083
3257,4546
1304,8680
3455,922
39,5856
1677,9773
2138,9249
6902,7707
6195,3044
7553,2945
9624,200
7966,8977
5202,71
8503,8794
7301,231
9169,9385
7370,4303
674,2940
7448,9539
5788,6094
6370,2255
391,1989
3017,8428
2941,132
4402,3346
6399,2316
7491,554
7605,6438
9926,6381
9075,8742
2768,111
279,9885
3771,3810
8382,3069
368,7433
1446,5785
7264,7146
9406,3513
5185,110
5306,5655
6358,2888
1011,7337
2199,191
1323,9803
8576,2346
2750,7768
4677,5191
3732,965
6339,1784
3731,3498
5522,9531
9601,9822
2263,5477
8551,9166
613,1226
4241,6537
9747,7867
6929,6507
6265,3404
8052,292
5716,2945
7084,9044
569,3061
4189,9782
4982,6790
6355,9862
8692,6608
1968,8032
5353,7028
1652,3319
4746,5717
2133,1422
6461,1120
7630,9830
3452,1477
6259,1029
5237,1078
7058,1295
767,1178
3205,772
5640,7215
2340,7238
1769,5402
8520,6021
9403,9516
6906,3240
8738,3907
8170,6058
7959,5177
1132,1295
3684,3165
8204,7154
2809,3101
7570,9948
4763,4829
6577,6643
6924,3574
4137,5293
5894,30
9516,2303
7616,8303
2366,6278
1923,6183
6661,3729
9591,9212
8816,7625
3638,6074
9796,6447
8146,2826
897,9264
3330,288
9908,1751
6503,8321
7382,1695
2125,2367
1217,6995
7486,1971
2706,2453
3488,2118
1658,6151
31,9116
158,9977
4709,493
1135,9583
1637,4865
8228,3742
8055,1512
2339,628
3645,4291
5358,4785
5940,8514
6026,1861
9063,9899
2747,8183
3566,2004
9708,5024
8611,3229
9674,2978
5845,6845
9952,1032
9589,6567
2509,7675
2014,3112
2017,6061
3266,5120
1175,8022
6431,1659
8076,5561
3840,6651
6030,4483
5296,3012
9039,7567
9785,1203
2489,8344
3754,3820
331,8508
2200,2943
8082,3034
9755,4021
7971,7736
8841,7949
4884,995
9456,1022
7962,4723
6061,8376
8253,7226
1706,5883
1336,6490
3587,8643
3053,432
2441,4591
7845,3073
8384,4653
7157,1983
4643,147
2780,4199
5063,4444
2905,443
8077,4366
5497,9399
9361,2356
6718,9186
4640,8941
5355,8403
4998,9215
5195,957
6597,8313
1858,6153
7666,8981
8492,1247
9289,8662
1649,4320
176,7763
1450,5010
3417,367
2557,9753
3954,1285
1923,5903
1078,5469
5963,3024
1190,1725
8968,9300
8786,2399
5189,1545
2705,2107
1017,3933
6993,8577
518,9493
9128,7013
4011,3789
1865,8071
1241,3485
1714,5277
8690,3315
6097,5584
429,2707
6727,7488
9766,2792
4133,8325
3,3525
8883,7075
6146,1325
1552,6601
8685,2507
6275,9286
7568,4815
815,3496
2129,6374
9366,4962
9565,181
9572,649
6484,881
300,5244
5067,8125
9745,2670
2815,881
4522,3058
5849,2132
9144,6449
7773,7158
660,8378
7196,189
8177,2519
4202,4378
3905,8663
4106,486
468,8414
341,2702
363,965
8025,5448
9754,9935
4910,1521
5339,6666
1300,2645
4943,2622
2488,1946
2864,6613
2229,2906
2995,775
7560,7083
9769,3361
1260,9580
7572,5409
5667,5422
4054,3440
582,3580
1572,588
931,6649
6010,4561
934,4357
1673,1284
4083,7915
4299,524
2703,3018
9015,1725
6046,5422
5664,4338
3158,7723
520,3590
6979,6517
8673,9215
7892,7918
1284,1704
4643,4701
3259,9050
8946,1543
7608,7366
1025,5293
777,9633
6284,5634
1139,8093
5376,8039
4779,4959
8366,8165
3748,6946
6696,6935
98,9672
4969,2161
3901,264
2993,5664
4993,3097
9694,9952
3698,5129
598,4276
2173,3690
1969,821
346,1466
5635,1914
2078,4189
5591,4545
7772,3417
3095,3991
8331,8526
184,970
9235,6208
4514,8808
2033,210
2525,6403
9179,7777
7719,8132
3789,9354
6018,9944
8673,8921
3051,3403
8492,8831
500,5504
6357,4767
5444,2907
7170,9445
7332,1851
8859,1795
9674,1735
7647,3738
5218,7604
6437,4993
7384,9632
8139,1685
6547,9438
7258,9565
603,1774
3147,6217
1243,6744
5474,951
8274,3525
9240,5985
1731,683
4216,8966
3804,963
5087,9155
3267,9064
4246,4942
9740,7102
331,5087
9416,4540
6331,3644
616,4103
1661,7967
8831,3133
2616,678
2837,2971
4340,822
5944,8347
1230,3821
5500,302
5765,4003
5059,7682
5777,7020
8920,7312
5763,6349
885,8693
4487,4264
2661,9834
6007,7845
8932,4594
8969,9983
9458,655
1129,8937
2118,6418
657,3691
2319,8877
6244,9869
2086,9030
1338,4478
8015,827
9509,2545
9807,6557
6387,3445
5079,7643
3148,8928
414,5579
875,8887
2605,2054
2250,3869
435,7601
3990,6869
4521,8708
5873,7557
8576,1017
4006,7801
1462,3251
8983,5633
5768,1753
8802,9977
2881,4797
6306,7443
3409,1149
3330,1474
9561,7541
108,2517
2274,5230
8752,4799
7997,4759
2416,4175
7093,1295
9160,1601
5457,8924
6395,1904
2997,2796
6840,2406
1976,5045
7579,6993
6017,8523
2768,5940
4522,8094
6883,4647
5847,7516
9347,3276
4304,3610
85,5296
9913,3883
6916,377
4834,522
4613,9890
2923,938
8649,8432
4240,3592
492,1216
9586,3225
3659,768
5349,1606
7090,7414
5734,848
3,7185
7173,3649
35,922
960,8593
8334,1574
7040,7457
9051,8667
4508,920
6522,7676
6203,1544
6729,8579
5336,3532
2614,8986
4926,2416
7087,2839
5698,3261
8805,7761
3424,2128
687,2755
814,5893
4651,4668
6205,3829
4831,9071
4877,5257
8366,4366
1424,6506
4422,1151
3207,2343
6309,440
584,6850
3468,6524
6353,728
7340,2450
2119,906
1325,9854
263,2940
286,2958
6205,9770
8230,9907
1363,5218
169,1642
9041,9938
6294,918
6643,5343
5981,2140
840,9279
5710,4859
8806,6196
6972,1877
2699,7429
9169,3839
831,4106
635,9761
7349,5859
564,8010
4912,742
9647,9427
8850,2420
2878,3726
5952,3063
7489,5691
3841,8778
4057,758
7749,5093
6138,1313
3139,2371
7967,3434
7370,5250
9047,8936
4873,118
9997,5063
9258,4218
885,3918
5272,4868
3698,1705
7474,5588
6325,7384
1368,1721
4352,6003
6882,7360
8857,3704
848,1706
6282,1939
1148,856
6005,1705
7420,2661
388,4624
4275,6161
6638,6046
3239,9414
4598,5085
6989,4809
7118,776
2656,3070
3657,357
5537,4872
1565,6255
5225,28
2023,8894
665,320
4665,5093
850,918
9006,9544
4289,2735
2447,9800
7570,8942
4798,8845
2453,7434
5374,8287
5534,5631
9974,9040
9526,8225
2795,6825
2144,4526
6538,896
2838,1567
4951,3027
8513,5467
1151,2436
7607,6121
6522,2224
7918,4527
909,5229
5439,1084
5612,816
342,8686
60,8873
5894,4320
8725,2108
4681,1284
5895,4716
6501,8409
5892,4453
7786,2665
3771,2758
8424,8610
4405,9626
3550,1535
9864,7330
1213,3842
2537,8144
7259,4720
4174,4530
947,9657
9569,9145
2953,5746
3617,646
4395,9825
979,8704
2019,5188
5046,6948
9146,1311
2787,1817
8167,4432
9747,7710
5508,1360
1450,6403
3841,9177
7842,4417
7730,6318
9123,5927
307,2812
7773,4370
6653,4747
3656,5192
3456,6656
2835,2592
2112,1171
3641,7154
5628,3095
6705,3511
7225,5787
5220,1868
1373,5469
682,6649
8535,4486
5277,1800
3916,9333
4111,4596
5469,9708
2184,1152
1428,7825
5703,4576
1869,9778
3049,9256
8290,4185
8008,6592
8894,6583
6955,3584
8723,3152
8603,62
8614,5874
8037,8593
9144,4355
8955,8272
5744,7399
38,3852
7076,4971
1734,9863
2391,609
8457,1696
844,9416
3882,2045
8360,582
3713,5955
1366,7573
5641,7220
2356,7352
4158,1685
8314,5401
1925,2507
4331,2688
3926,4370
2388,1729
8036,730
2817,1699
2381,6254
2303,7961
7388,7970
8220,7471
9564,5704
6970,6466
8471,6911
4179,3596
9165,2729
9479,4394
1936,8536
528,492
5452,3124
1174,3129
7348,971
9215,3805
4663,1029
654,3168
6594,3747
7548,4627
4271,3140
8980,6121
7739,1476
5544,5456
5989,1249
9714,5852
7489,634
1669,3678
5933,9815
1793,7542
4267,688
3924,8834
2013,8347
2014,3281
319,9572
3022,1848
9438,7099
5688,7216
6519,4437
4920,75
170,1664
7471,2129
5900,2616
892,251
7564,4990
3431,4603
2221,5931
5382,9990
3378,1697
6226,1887
9833,8010
2452,3554
8526,2304
4729,4809
6672,3912
8325,1166
9792,1899
5812,2702
7637,8195
8939,3270
2205,6958
4268,9981
8302,8562
2008,6654
3547,5182
5887,736
8578,5992
3124,9235
7026,8520
8476,4345
5849,3616
2020,8479
7387,2822
1986,8615
9472,4480
1908,9108
3940,7627
4965,9888
5202,7448
7390,2045
4346,1044
1001,5798
687,2482
4304,8562
158,4951
9316,885
6984,7761
2938,7298
6704,6565
3312,7440
2048,6627
3037,3848
4534,3689
374,6905
2764,4465
7772,2792
7717,6183
3411,167
7395,7404
1982,9184
7078,6304
5958,6223
7487,9087
4089,8057
8610,9323
335,4221
8842,1025
1256,3558
3734,6731
9410,2842
4881,4417
9894,2226
8272,8397
3217,1269
6020,2714
3057,9331
8015,5176
5029,1004
9171,9839
3127,4251
9158,3980
3590,7522
6834,589
4715,3
5993,4101
5725,2920
9653,9885
2080,8287
5837,9016
1320,6678
1300,144
8236,3103
8044,5970
7222,1072
6936,2227
3991,7609
5022,7086
6694,6051
7755,2235
265,3746
3921,6941
9372,630
9356,9992
8382,2452
9250,5276
300,8700
2952,5555
3445,422
3665,6083
1692,7998
7233,9137
8188,7113
8272,6723
9398,6611
7275,3631
4133,5527
3572,5317
1971,2970
9209,3973
8676,7860
5794,8015
7904,7692
1940,6438
9935,9823
611,9567
6636,1020
9892,3372
8220,2575
4048,4607
616,5464
292,8605
453,9495
6453,9585
8277,7303
8658,6090
2759,7396
8930,8403
6857,8618
9307,8732
5613,8587
1748,2522
8122,4093
7011,4440
9689,1918
7568,7320
9648,9252
4171,9130
9212,246
6201,9799
7735,3184
8745,9802
7689,9335
4500,2588
8346,2682
3859,5851
3317,7488
8923,4743
9817,8004
3331,8473
5561,5866
2166,6352
915,973
4436,4888
990,774
9971,1337
1356,4747
2818,3290
4543,8353
9822,6320
3592,5040
7678,9719
5706,7474
7593,8379
5309,7607
8264,147
3695,3624
2181,811
9701,6581
7458,7789
5839,3293
6503,3995
5065,1818
1571,1532
173,327
1123,4769
1798,3807
7793,9554
752,3652
3652,2969
7803,7752
9397,7739
9230,9483
5938,7182
4121,5697
4795,2988
2466,2847
5129,2835
2017,2546
590,678
7687,4509
7640,8691
7129,4333
400,4433
6555,2170
2095,7494
6055,7052
9423,9363
252,6903
8991,2685
6211,3765
5329,8633
3453,959
3341,7891
4905,7336
5769,3434
4386,6661
2176,9435
2068,1116
5566,3593
7695,4393
9630,5030
7556,5751
8314,3169
3708,8929
290,5692
4776,9381
8121,3880
2531,2209
9896,1055
1012,766
2981,398
5840,3221
3727,5693
9804,402
7328,2397
1856,8436
6565,6429
6326,1549
554,6952
146,4189
9422,3262
3708,2005
1430,6445
2488,2602
1758,3709
4423,233
3993,1589
2966,9121
3049,45
2052,5009
6970,2273
7858,7183
8857,6478
8771,3058
4099,8076
1410,3949
1368,9512
4770,7673
5022,7741
1488,8973
4945,1519
5573,6221
7448,4739
4985,8524
163,8190
3201,6190
1696,6441
7737,6367
4029,8142
1308,8506
8984,3633
8912,39
1395,158
2207,1445
4051,8235
9071,3967
983,9049
5251,6589
549,4733
2923,3690
3984,7029
9895,2318
1078,2313
4697,5479
3606,4000
4439,4905
238,8332
400,2063
2051,6003
2758,9612
7306,9579
6105,1923
4419,5184
6757,1551
8661,8853
642,5936
7540,3542
1529,3523
8767,7797
6998,7804
1302,1049
344,6802
2329,4383
5414,3720
300,8140
6556,9588
4199,5200
7938,5869
7961,4712
8990,2662
2892,5073
992,9185
8835,8996
3355,1538
3056,7106
3940,1521
2195,4589
7730,3867
4397,8176
4774,182
7571,7500
1668,4143
6109,7537
4335,1778
7614,4373
5810,5205
2766,6964
2331,1026
3778,3012
6034,4543
3517,7635
1559,875
3056,1823
8458,4407
5006,8946
8628,3630
6427,3416
339,5090
1074,9263
8018,2037
9076,9658
6326,2018
1470,1778
4501,5670
164,2009
1442,7085
2842,8236
7715,989
2034,5492
596,6649
4159,7881
2308,2675
9208,3828
1708,6722
9176,1167
3648,9019
5218,9596
3342,4095
785,5023
7188,7809
78,8456
8446,2434
5707,1265
2172,6523
8428,9920
3122,678
4837,5705
2506,4410
5054,1668
4340,6113
5748,7670
4461,2327
8201,6063
8957,8305
347,9151
8554,4856
5234,9909
6955,1761
5539,2374
6199,6682
9106,8854
715,7186
7204,7735
314,9398
786,9371
1582,356
5401,7095
285,733
7407,950
8456,9052
240,630
6253,9134
4262,740
6268,7517
3847,3263
8102,2173
2312,8555
3009,4049
576,8485
2824,7659
6519,3214
5919,2415
9277,3238
1461,1442
2007,7046
8642,9748
7923,4649
8720,3047
8461,5416
885,123
971,2865
1806,4056
3651,3491
168,9847
7932,1993
9704,990
5137,4704
2379,4038
3938,8167
359,8506
8261,3122
6096,2013
5786,9275
726,552
2204,5414
7100,9664
3043,8094
5956,7248
5686,113
8469,6968
1149,2373
222,6402
7317,166
8357,6348
909,6190
7048,3159
7133,9903
8245,7259
5735,7936
3685,2421
53,385
6786,9134
6850,3852
8890,4969
9717,6762
428,8008
5815,7519
2543,1435
7830,4548
9665,9255
8674,9999
9037,8847
3796,4961
3414,4242
5359,3372
9264,5233
5694,254
350,8106
4429,7054
8485,7845
3188,9890
7520,2699
5950,4923
637,1278
104,718
2996,3130
8964,8927
4088,1686
1917,4716
7206,8998
8293,4371
1531,384
1227,4273
4162,648
3800,40
8938,6795
6312,6412
5685,7189
198,8619
4413,9775
47,279
6498,9304
2809,3841
8063,2911
8205,7251
2586,8042
6287,6681
521,3302
5694,61
9730,4732
3895,2479
6059,428
3508,6029
3552,8441
6850,8388
2051,7649
9328,8931
9470,9191
3571,4280
8660,7710
6198,346
8869,9364
9119,2243
6096,792
8317,679
195,2938
5757,3589
2094,2590
2300,2377
2373,6397
1415,4667
5556,4488
9550,4296
4637,4921
7047,9402
4060,9688
2894,3159
2652,4918
4202,5171
3219,4938
8379,2371
4904,5718
3344,6512
2821,5493
7845,4147
5031,1251
1129,8291
7570,7256
2237,40
8722,7795
313,7515
8412,9824
2169,7580
483,2677
9700,8079
9542,9727
7933,9524
4966,1363
7762,4754
9590,6499
9506,8688
1483,6736
124,4192
4115,7847
4434,4360
194,4473
460,3197
1399,9306
9017,6894
4157,9238
9089,8666
7805,4235
1157,5840
1345,3943
3944,1729
2691,5919
8471,980
6788,9336
8963,54
3177,1750
7152,3819
6944,3807
2901,7349
880,507
4244,2352
5182,3051
996,5704
5132,1234
1129,3528
6764,4420
6294,608
6146,3978
248,5218
7335,9983
5651,1497
8282,363
7803,1542
2209,1417
505,488
1501,2646
3741,567
1867,1737
2370,4478
1863,7769
2301,2371
5563,3264
7455,787
